id,target,fold
013f7c0cc012e36,0,2
0140a965daf45db,0,0
01415b81e1d7320,0,3
0141be6ad276dba,0,0
0144b592dab0b64,1,4
0144ec13495476d,0,2
0145868affdfed0,0,4
0148395414a359a,0,3
014889199e88d73,1,4
0149302465bcbd0,0,4
01497b84ab3a489,0,0
0149a840eaf7106,0,0
014c08915b07898,0,0
014d0da3668ea88,0,1
014daad84628eae,0,0
014ea05af03fb00,0,3
014ef1dce7e124c,0,1
015063dd915a57e,0,0
01510907c734352,0,4
0151825f8f546cd,0,1
01536b433f5d113,0,2
015395f25e9dd7c,0,1
0153ce8ab752c97,0,2
015402214fff019,1,1
01552f0ab827ab3,0,3
0157bf891fc867a,0,3
01583f9f5ad7d40,0,0
015a55e68cbac98,0,3
015adf2653f3567,0,3
015ae57d306dc3d,0,0
015ae6ee7745e64,0,3
015ca1530532aeb,0,2
015caa134a91f8f,1,1
015ecced8b6465d,1,1
015ee90d86eb4f3,0,4
0161980dfd7df0d,0,4
0162f87edd1ba06,0,3
016563d26585980,0,3
01658aaf3e0ac14,0,0
0168e22f6b65a8c,0,1
016955b846b45b8,0,3
01695a24dd07460,0,2
016ada2f4635325,1,1
016c44b6ef0e62b,0,0
016ddf03db72c5a,0,3
016fd0f81f7cc21,0,0
017219295e6c2b9,0,4
01736a4a95101a1,0,1
0176416e740ea71,0,3
017700cca4d83b9,0,2
0178f972d719340,0,4
017a7bd9801f6ce,0,3
017be29afa961c8,0,1
017c4a66b86b978,0,0
017c9dc56ec5e7e,0,4
018124918ba32c9,0,3
0182057c6f8e29e,1,3
01838d278484d04,0,4
018412708de6225,0,3
0185064f450d906,1,0
0186ae7796c6e21,0,2
01873f261ed4e85,0,2
01882aa40324b28,0,2
0189a102efa55a9,0,3
018d586280450c5,0,2
018f290e94d6f43,0,1
0190dc24d17d3f8,0,1
0191a16a4063078,0,4
0191f62e63f4d3e,0,0
0191f6bffa3f759,0,1
01923147c9ae3da,1,4
0193144a360d3bc,0,2
01942babd58f7f7,0,4
01949813672be23,1,0
0196c0aea007bee,0,2
01978740370eb8a,1,1
0197a796e71ed3f,0,1
019967e8abfc520,0,4
019a86f7f3d7838,0,0
019b178e9920983,0,1
019b39f5a82c3d8,0,4
019da5861cf562a,0,2
019f97f0d4c18fb,0,2
019fa91fb39565e,0,4
019fc38921b545c,0,2
01a07bea56f3e10,0,2
01a1bd190c843f2,0,1
01a1e9ad6266072,0,1
01a27ec38f69cbf,0,3
01a524c13f2f0c6,0,4
01a6e61cc38e653,0,2
01a884ca0f278d7,0,1
01a8ed6d8851ba2,0,0
01a9e10ded6f230,0,1
01aa538db2c0af2,0,0
01ae0ee20b5a5ec,0,0
01af794a8c768be,0,2
01b02de1dc2f80d,0,1
01b11c3e5ce844a,0,1
01b17d85a843610,0,2
01b1a2bcb7dc6e5,0,0
01b2ecc484d881b,0,1
01b2f708dcea0ca,0,3
01b3ca3c94504b5,0,4
01b6436d8a88f14,0,3
01b675c293d12c1,0,2
01b785d4f4a8683,0,3
01b905786a3cda9,0,0
01b93625fdbbb97,0,2
01b97cc8a564e78,0,1
01b983b2319afda,0,0
01b9a2be0848d16,0,0
01ba8a91ceb6cf0,0,4
01bda09c6f87e8a,0,3
01bf3fa6860ad4a,0,4
01bffb434c7cbaf,0,2
01c0fb3a9356315,0,2
01c2c530061efcc,0,1
01c38093e5500bb,0,0
01c3ecb37f66fc1,0,3
01c4a481d2c53c0,0,2
01c4e1bd0dd270e,0,4
01c5fa78f7b1d9e,0,0
01c63db30cc960f,0,2
01c6683c5e97364,0,3
01c925084ca2d91,0,0
01c95f2b4b0f586,0,2
01cba908e429c0d,0,4
01ccb9c3e3fd191,0,2
01ce57c4893c36d,0,2
01d30867493c1aa,1,0
01d4f738c1ded19,0,4
01d68571eaf2c35,0,4
01d91faae624e5a,0,1
01da4626ea2f05c,0,0
01dbffba0ce960e,0,3
01dde3840546a7c,0,1
01df3d4f2b5e918,0,0
01e05b44ecf8d77,0,0
01e0fec559ce3ef,0,1
01e13ece1d1b4af,0,4
01e2483fc05db20,0,0
01e2ec6de4c8621,0,4
01e329e3c31014b,0,3
01e3aa44a0d66c8,0,0
01e3bd33ebd50c0,0,2
01e3ef53cae984c,0,0
01e52b8296391d4,0,2
01e540083c8b555,0,0
01e56c9dcea7511,0,0
01e835fff0f0491,0,0
01e86e137cf5d80,0,2
01e978f7875fb82,0,0
01ea4e3a4579b24,0,0
01eb03c4fa96c1e,0,4
01eec75592cb8ed,0,4
01efb5b96bfe487,1,3
01f0ed56f833c17,0,4
01f209c8483c81e,0,2
01f39284c645b7d,0,0
01f3e453fac4599,0,4
01f65b12574e50e,0,0
01f67528f2a8909,0,3
01f7d4d63e41ad2,0,3
01f818b1f51daaf,0,3
01f81f678cae3ce,0,4
01f91479605c4f2,0,3
01fb20b540c4e44,0,2
01fbbe7810f2f98,1,2
01fc1b8f3247b6e,0,0
01fccef8d70a8fd,0,1
01fe1812492b0d4,1,3
01ff065a7c27670,0,0
01ff6af10364c15,0,2
01ffa63b743c0eb,1,0
020073d51daf1c4,0,0
0200a8a12536cfc,0,3
020257c9dbeb4ca,0,0
0203d44198cdb5c,1,0
02063dc39785fbd,0,1
0206e0f1e20dda8,0,4
02076c9a3fb8679,1,2
02078dac2d2f04e,0,2
0207f5b2147ec36,1,1
0208557d9aeb270,0,4
020959f49caf6f2,0,1
0209aa116e92ac1,1,3
020a200d205c159,0,1
020b2d0c99bac9a,0,3
020c00ad3ac90cb,0,4
020c99d40a8c30a,0,0
020d631ba7938f3,0,1
020d6f1b1fe51f6,0,3
020df60a88481af,0,0
020e05144e57c52,1,4
020f091d6415846,0,1
020f2948253714b,0,4
020f9943ca37cb5,0,4
021629959620cc8,0,4
021a70861ae48d9,0,4
021a842bba897e0,0,2
021bd7b3854952f,0,3
021c6703edb2880,0,1
021c7cf7caf8215,0,3
021dd2dee7d4c1e,1,4
022149bf60f0f0f,0,3
022217f84040bdd,0,2
0223a163d4ad91f,0,0
0223b6072c38d86,0,3
0223b82230c5f19,0,2
0225cf6f6f78b82,0,3
0225db887a74413,0,4
0226e6fb1c731b9,0,0
022759163e0d4c5,0,1
022774afa0648e5,0,0
0228757c805ce85,0,2
02297c71cc9044c,0,4
022a7ec498c6d2d,0,1
022a98f50e98e4a,0,2
022ab41ff942dbe,0,4
022acda261fd27b,0,0
022c947fb512757,0,2
022d97de23cc2b2,0,0
022dde30e221137,0,1
022fd32f95e75b0,0,0
0231482dac8e791,0,1
0232c0b5f1dcd5d,0,3
0232f867b524219,1,2
0234cffd292a5e0,0,2
02357589fa83af5,0,0
023864e86a04051,1,2
0238a7cbd3f0fd6,0,2
0239439a8267e41,0,3
023a078a0fc1f87,1,4
023f43dbad47efc,0,3
02413ee48511655,0,1
0242546174808dd,0,2
024528e5e576d76,0,0
02458fbbd8d2ccc,1,0
02461f6bbcc1959,0,2
0246c01f8705a7b,0,0
0247b65cdfa19f5,0,0
0248d1228da8bef,0,0
024a20daed5527f,0,0
024bbc8cd3a3c82,0,4
024bd6cc5ab8c29,0,2
024be50a2deaa5e,0,3
024c4d7a4174d23,0,1
024ebe52f1b7525,0,3
024f2dcd04f11e7,0,4
024ffc5f0ee3783,0,1
02504e8ff8d3f66,1,2
02508433f9c1450,0,4
0250b99b5da4e53,0,3
0250fe4d25acae1,0,0
025222bf49f32d9,0,1
0252e521724f3a5,0,3
0252feb36ace15f,1,0
025406e2e8ad0ad,0,1
025950ed4707338,0,4
025a10f55479b9c,0,4
025a60aefb75f3c,0,4
025ad42f48c2ca9,0,1
025c88c3ca9e4ed,0,2
025cb59c2440769,0,3
025f96e48d0bdb8,0,4
025faec0d6ee4d2,0,2
026021a939294c9,0,1
026037d1b4cae46,0,1
0261c9f8b431ab9,0,1
02622ca271fe928,0,2
0263b05871bac16,1,0
026450df77f78e9,0,0
0264d4ab42566a7,0,1
026621fe3841d87,0,2
026848e889ecb97,0,4
0268d1424178c81,0,2
026a9a38797bed4,0,3
026b71f6dc26157,0,4
026d1cf6cbd5070,0,3
026fdfdc666da61,0,2
026ff5f78e47340,0,3
026ffc143e965f8,0,4
02704c71d0ca0b6,0,3
027130b743b3925,1,4
0271e06e097cb5c,0,3
02728fc8fde2570,0,0
0273206db02d97c,0,4
027365ef71320c3,0,2
02756f722d7314c,0,4
0278a37367049b1,1,3
0278dee05898df1,0,0
027bc09c7ae40d9,0,4
027c31ac88ac2d2,0,4
027c43dff3e922d,0,2
027e17d63b9fe23,0,3
027e2b99f39030d,0,0
027fa09e8c5f97a,0,3
02800a9bf9a0f01,0,2
0280bb4012d8a13,0,4
0280c3526a194b7,0,0
0281353109f3c3f,0,2
02813a17a30f162,0,3
028189fd49f637a,0,4
0282421addbefe9,0,3
0282516e77f0b5a,1,2
0283bc4ab832c8b,0,1
0283cf0051c8ece,0,2
02842b34b936b2b,0,1
0284ad614d4ec54,0,1
0285602babd65a5,0,2
028596d5b3f1106,0,2
0287ca3c7180f9f,0,3
028abf183035476,0,1
028b7637c86c7ac,0,2
028bfaece506224,0,2
028d005d3976a30,0,2
028e6f2480727f5,0,2
028f651bd2bffa6,0,4
02919380c37fb34,1,0
0291ae9d56d0c88,0,4
02985ab154aa674,0,0
0298acd0d4083dd,0,2
0299cbe29643cc3,0,2
029a8e6dcd0af3a,0,3
029cf1b21d25db8,0,4
029d5a17d10bcbc,0,0
029dd3e7834cfe2,0,1
029e991dac5d68b,0,1
029edcb8171a58f,0,2
029f785cfa3f05a,0,2
02a0b5936212bcf,0,3
02a3b3d174c923a,0,4
02a4e91f55f2c97,0,0
02a5092e43315a5,0,1
02a5fa1af009998,0,1
02a679a07d9afc8,0,2
02a709500573d07,0,2
02a90e80de78996,0,4
02ac9de4207fc75,0,2
02ad7f3b9575b7f,0,3
02adb4d66c7d1b7,0,0
02ade03c2f3fe00,0,3
02b253a4b6058cd,0,4
02b2be028c6b4d3,0,0
02b30cca710996e,1,0
02b50c05fcd0dac,0,2
02b521f7b31f4db,0,0
02b67115c2c5be5,0,4
02b81244e4bd7b4,0,3
02ba876cca18a8c,1,3
02bc7fc6403e4de,0,3
02bcfebd7247f3d,0,4
02bd0183699d573,0,4
02c15e8fc974a47,0,1
02c2b6c33e6d426,0,1
02c500b4d7c8b40,0,1
02c77051ccdbfd4,0,2
02c78bb2a8891b4,0,2
02c82e9125097f7,0,0
02c8a3f8c2896dd,0,2
02cb02b60448203,0,2
02cc1259f892008,0,0
02cc651719018e1,0,4
02ce13dad064411,0,0
02cf5998f1168b2,0,1
02cfc24f80806a7,0,1
02d1963d4ddf485,0,3
02d1cea569081b1,0,0
02d3ee40f647373,0,1
02d4a8356b0796b,0,0
02d5bce51cfe555,0,4
02d610fd4ab94ff,0,2
02d75340c0fe5f6,0,1
02d76fbe47e6c99,0,0
02d9cf5b3287634,1,1
02da0e599e8c384,0,1
02db032215aa467,0,1
02de4c5db32eee0,0,2
02dfeef1e379505,0,3
02e0d878ad0b51e,0,4
02e150c1dffab41,0,4
02e1928b0aa3b5f,1,3
02e31f2a89e905e,0,0
02e3df74232f1c8,0,0
02e3f5b61c6d886,0,2
02e4f3ddd8c18b6,1,3
02e54d5a49a5eba,1,4
02e54e154172651,0,4
02e586e81bbfdfb,0,4
02e770ed9e7a654,0,2
02e9b88c77bf23c,0,4
02eb4adcb1f8d38,0,4
02ed484ce5bc2ff,0,4
02ef7310d7d0723,0,3
02efb18f39d870b,0,2
02f0d82fc42147f,0,3
02f1400f6bbed9a,0,3
02f1dab04f532d4,0,3
02f1edd77a9aca7,0,0
02f2669aa17ad84,0,3
02f2cc2c5287b7c,0,1
02f35c0291a4c48,0,1
02f39b41f276683,1,2
02f544670e847e2,0,1
02f603955e6d4e9,0,3
02f983ab6903d65,0,0
02f9fc171867d71,0,1
02fa4954935ed41,0,4
02fab5e23c96deb,0,4
02fb1281d8ee6d4,0,0
02fc8d7a939848a,0,3
02fcb2883549dc8,0,2
02fe181216fd50e,0,3
02ff7ad286ffed5,0,2
02fff319cea502f,0,2
0303a7b80a6ad70,0,4
030423d2fd93b8b,0,0
0304abcc04c443d,0,0
0305cc7db8663ea,0,0
0306ca18014f737,1,3
030a48bfaf10137,0,1
030b700d1cd5091,0,0
030bdf1fdcbef3f,0,3
030c185c25a9b31,1,0
030d5dbf44aa1b5,0,3
030daddf7558644,0,3
030e003032e62ca,0,4
030f6a2e6302281,0,4
030f774f6eaabe0,0,4
030f87abc4ac234,0,3
0310e59532ab898,0,1
0313f7c66115f77,0,1
0314a4844b2dbc8,0,4
0317bb4ebda6d3a,0,0
0319f606bc7807e,0,1
031a67b8018f53d,0,0
031a7b3cccf80b9,0,2
031a94bc5366d11,1,2
031af5c21bd02a9,0,2
031b7b19dd10c0c,0,3
031b91e7bc72dfb,0,1
031ceda8d140697,0,1
031d224bfaa89d0,0,3
031e1d659a63750,0,3
031eb9ec3ccccf9,0,3
03209cc57401c00,0,4
03211902f0e60d7,0,1
03212e8242239f8,0,4
0322731b104900d,0,4
032372be67ea5b3,0,0
03239fd73155181,0,4
0323e3bfd2148d9,0,1
0323eec4fc716e7,0,1
0324e2b75fb898e,0,3
0326e56067ad1cd,0,0
03273b3dda959dd,1,0
0327843315a25da,0,4
0329ed160323574,0,4
032a85cb169de78,0,4
032be0e2baf704d,0,0
032d3d4e271278d,0,2
032dd2a8bbccdca,0,1
032dd3aa6b1fe9a,1,1
032e036be88d571,0,2
032f590ae2ebd25,0,2
032fdbffb65608c,1,1
03300ccf4767820,0,4
0330586295264c8,0,4
0332f7f0f5d03e1,0,4
03330a47ca80c17,1,2
03345710968ea07,0,4
0336d819c6fca01,0,2
03389b61b6c6820,0,0
033a5f9eaba6e22,0,2
033a7bcca875c20,0,3
033dea082411c5b,0,2
033e7fb248e9476,0,1
033edec3881be8e,0,2
033ee8f46c25dfa,0,0
033f3e93ff50451,0,4
034038369ddc556,0,4
034128b1623ea9f,0,2
03416e32c82df0c,0,2
0342321335ebda5,0,0
0342a514bcc31a3,0,0
0344245fdc44fc7,0,3
0347524a518ad36,1,4
034755150ec9453,0,3
03479b8d1eadd8a,1,0
034820978ba98f4,0,0
03495fa71fe588f,0,1
0349c664c20feae,0,4
034cd8fba21ac80,0,3
034d58ee28405b6,0,0
034e49967d92f89,0,1
03506d721335a41,0,2
035243765673726,0,4
035308febb54469,0,2
035678c456cc288,0,2
035750ef6304197,0,0
0357f6d07db51a7,1,2
035af15474c0153,0,3
035b5c26b3f78db,0,1
035c78997752cb7,0,4
0360e02cb4ff392,0,2
0363571840e587e,0,4
036577c95647b4b,0,1
036579cdd775cbc,1,3
03657cb3c7c1772,0,3
0365992946a7deb,0,0
0366ab2fdc627d1,1,2
03677cbc4747ded,1,2
0367cb63953a9e3,0,3
0367e7e7cd1df37,0,1
036919cac0b4780,0,0
036a35ce7506e3a,1,0
036ae55d8e009fc,0,2
036c87cdc18470f,0,2
036d5035632f33e,0,4
036eb8fadfa2f67,0,4
036eff85fcf1b85,1,2
03705e67277d960,0,4
0371a6b7318eb4a,0,2
0371cc1b995c08d,1,0
03720b2d33784d6,0,3
0372b7d9f4fb513,0,3
0373a17e11159e9,0,3
0373d7198130251,0,1
037593801ab74d9,0,1
037691287659312,0,1
037850c0f117494,0,0
0378c8079d0a568,0,4
0379fb7072c4b5c,0,0
037a1e9838cf2cb,0,2
037baf615d42326,0,0
037bf42a505167b,0,0
037c386ba82a6b4,0,1
037c45c5860e439,0,1
037dd760e8a790c,0,0
037ece7f058449b,0,2
037f978e9a83a90,0,0
03802db86c86c46,0,1
038150c2ecc4e28,0,3
03822e9e4020241,0,0
0382753f50a6853,0,2
038366335446aed,0,4
0383c5cfd136719,0,1
0384c19dc15ec45,0,3
0384f83076a02d7,0,4
0386d7ae2d7a98d,0,1
038776970fcdd15,1,4
0387a38dbc848dc,0,2
0388211352e59cb,0,0
0388dc440d7c445,0,1
03891a6787763f9,0,2
038951995eb8839,0,1
038a8099d825af4,0,4
038d9c6ecefd8bd,0,1
038e0706564f70d,0,2
038e80269830250,1,1
038ee6bfdf2d9bc,0,2
039002b595f5720,0,3
03904256b0e28b5,0,1
039153a72ab5157,0,2
0391c065cf7cd22,0,3
03924b51920a312,0,4
0392850fc529a90,0,3
0393779f7b523e6,0,0
039432a9ce8895c,0,1
03943d77745e0e4,0,0
03958440f3c91a0,0,1
03964acbcb8b9d7,0,0
03965c55f616ea4,0,3
039a57a960050c2,0,0
039a63e023bfd4f,0,2
039c61ba2f3508c,0,3
039e00a409cc57f,0,2
039ea17b3980e63,1,3
039f974e4c20c67,0,4
03a2be696e77d30,1,0
03a2c7b5c82eb6c,0,3
03a37471387acc5,0,0
03a60bf50c69418,1,0
03a620c09e129d8,0,0
03a687797478675,1,1
03a6ad31c48a525,0,3
03a76594befee36,0,0
03a7baa947403eb,0,2
03a9532513242e9,0,1
03aa8848141cdd1,0,4
03aacec4751183c,0,3
03ac356884c6d7f,0,4
03ad05c0a3820a8,0,0
03ad65223b3ba2c,0,2
03aed1912aa7bce,0,0
03b3699e9294170,0,4
03b3932dfe8a3a1,0,1
03b482a40aaa775,0,3
03b4d85a7e5ef16,0,0
03b94b62f0b0851,0,2
03baa1a3a09b5b9,1,4
03bc86111795523,0,1
03bcca85966864e,0,1
03bdb4585f8fede,0,0
03c02eae7a2ec91,0,2
03c304bf01babaa,0,3
03c4434c275f87c,0,2
03c5960faf69872,0,2
03c62837c993fe0,0,3
03c845d5d6a78c2,0,1
03c9619297a3740,0,3
03cc96d75b34c07,0,2
03cde3bda929fce,0,1
03ce3244818ebc9,0,3
03ce5d22a6648c3,0,3
03ce61e5f89ffb3,0,2
03ce956d7afcbcb,0,2
03cf345b56ca7db,0,1
03cfa5f1864d680,0,1
03cfdc49c4460fc,0,1
03d3551e75123d4,0,2
03d5d7f73fdf5d8,0,0
03d600ee7d4f237,0,4
03d7aee5f8d7608,0,2
03d82eb43120434,0,4
03d86dc466cd60f,0,2
03d97542ba6fbd4,0,1
03d978e6feaf804,0,4
03d99b9ab239a51,0,0
03db0e109506ac0,0,4
03dbb3e8d1920c2,0,4
03dcc0aa723bd3b,0,4
03dd8d07ba66664,0,2
03dde51f5de5765,0,2
03e12ba9463d43d,0,3
03e2b9a393d6e46,0,3
03e4ed1b30cad70,0,0
03e56dd5a35c296,0,3
03e64a89c97b7de,0,4
03e9f04ed06cde2,0,0
03eb469269d5f81,0,0
03eb621316d5a1f,0,0
03eb984136b1676,0,4
03ebc4ff475e93f,0,4
03ed72da27df95e,0,1
03eda998a1c88d8,0,2
03edba95fe4e65e,0,2
03ef4ef55448c13,0,3
03ef83dfa07fd52,0,1
03f11cc997fbeed,0,3
03f2ca0bafc223f,0,4
03f4abb3f2a7bd1,0,1
03f59edfdc145ed,0,1
03f6aee1feb8aaa,0,3
03f9f10490d7157,0,1
03faa98e0dcdf4e,0,0
03fac60e0c32cb7,0,4
03fc13d73c8f82d,0,4
03fc16261364a36,0,1
03fd1454405174f,0,3
03fe07b6c2661c9,0,2
03fe2f81fc09242,0,4
040053277beb741,0,4
04039f05835f878,0,2
04062f9c3845c3d,0,3
0406769221579be,0,2
0408e71332fa18f,0,4
040b1792c289d4c,0,0
040c93b45f0be4d,0,4
040c9a30dd2cfaf,0,3
040cc2244189193,0,2
040ed78071b6cd9,0,2
040f4fcddbd2cbb,0,1
04108ac24597262,0,0
04109c43d5f0f7f,0,0
04140163b9c6de7,0,0
0415ff7d8937daf,0,0
04170fe93578e48,0,3
0418625da9f1895,0,3
0418914cfb6ade7,0,2
0418b542a3ee016,0,3
041b94f93ba2d96,0,2
